suffer sufr
she she
he he 
similar simlr
tendenc tendc
toward toward
the_ the
to_ to
too_ to.
thus_ thus
reflect_ reflct
reflects_ reflct,
reflected_ reflctd
reflecting_ reflct'
ness_ nes.
see_ se.
sees_ se.,
seen_ se.n
seeing_ se.'
power_ pwr
powers_ pwr,
powered_ pwrd
powering_ pwr'
inter intr
relat relat
of_ uv
forgive_ forgiv
forgiving_ forgiv'
look_ louk
looked_ loukd
looking_ louk'
bring_ br'
bringing_ br'.
brought_ brot
throw_ thro
throws_ thro,
throwing_ thro'
desire_ dezir
desiring_ dezir'
despair_ desper
desperate_ deprt
depress_ deprs
depressing_ deprs'
despressed_ deprs.
Amiya_ amiy
Amiya's_ amiy,
Angel_ amil
Angelic_ ami'
Angelically_ amiy'
gender gendr
genders_ gendr,
but_ but
risk_ rsk
risking_ rsk'
risked_ rskd
risks_ rsk,
intense_ intes
intensity_ intesy
intensely_ intesly
distinguish_ distgh
distinguished_ distgh.
distinguishes_ distgh,
distinguishing_ distgh'
color_ colr
colors_ colr,
colored_ colrd
coloring_ colr'
considered_ consd
since_ sinc
sound_ sound
sounds_ sound,
sounded_ sound.
sounding_ sound'
screen_ scrin
screening_ scrin'
screened_ scrind
screens_ scrin,
which_ wich
whichever_ wichevr
logical_ logic'
language_ lang
languages_ lang,
example_ xampl
examples_ xampl,
